PID,cyear,IBIRTHY,AGE,Sex,Education,SpouseAge,SpouseEducation,MeetWay,MarryLast,Cohabitation,FirstMarry,Marriage,Jiazhuang,Marriage_stf,Economy_contrb_stf,Housework_contrb_stf,Job_code,Income_month,Income,Life_stf,General_stf
230027103,2018,1989,29,1,8,-8,-8,-8,-8,-8,-8,2,-8,4,5,5,3,5000,70000,4,4.67
230030102,2018,1952,66,1,4,64,0,5,47,5,1,2,-8,5,5,5,11,1200,14400,5,5.0
230031101,2018,1963,55,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230031103,2018,1973,45,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230033101,2018,1962,56,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230034101,2018,1950,68,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230034102,2018,1954,64,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230036101,2018,1967,51,0,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,19,0,0,5,5.0
230036102,2018,1964,54,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,19,5000,60000,5,5.0
230037101,2018,1961,57,0,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230037102,2018,1962,56,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,16,5800,70000,5,5.0
230038101,2018,1981,37,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230038102,2018,1981,37,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,3,6,3500,40000,5,4.33
230039101,2018,1968,50,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230039102,2018,1967,51,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,4,5.0
230044101,2018,1980,38,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,1200,14000,5,5.0
230044102,2018,1979,39,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,6,3000,36000,5,5.0
230045101,2018,1985,33,0,4,-8,-8,-8,-8,-8,-8,2,-8,4,4,3,12,1700,20000,4,3.67
230046101,2018,1965,53,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,-8,0,0,5,4.67
230046102,2018,1962,56,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,4,5,-8,0,18000,5,4.67
230046103,2018,1988,30,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,19,1800,23000,4,4.67
230047101,2018,1965,53,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,3,5,8,0,0,3,4.33
230047102,2018,1956,62,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,0,0,4,5.0
230047104,2018,1987,31,1,4,30,4,6,4,1,-8,2,-8,3,3,4,12,0,0,1,3.33
230049101,2018,1950,68,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
230049102,2018,1951,67,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230051101,2018,1973,45,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230051501,2018,1970,48,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
230052101,2018,1963,55,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,1,2300,27600,5,5.0
230053101,2018,1954,64,0,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230053102,2018,1951,67,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230054101,2018,1978,40,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230054104,2018,1979,39,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230055101,2018,1946,72,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,-8,0,0,5,4.33
230059101,2018,1986,32,0,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,-8,0,0,5,4.67
230061101,2018,1951,67,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
230063101,2018,1954,64,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,33600,5,5.0
230063102,2018,1954,64,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230067101,2018,1981,37,0,4,-8,-8,-8,-8,-8,-8,2,-8,4,4,3,-8,0,14000,3,3.67
230067102,2018,1957,61,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,12000,5,5.0
230067103,2018,1952,66,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230067104,2018,1978,40,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,60000,5,5.0
230069104,2018,1974,44,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,3,5,-8,0,0,2,4.33
230069105,2018,1977,41,0,3,-8,-8,-8,-8,-8,-8,2,-8,5,4,5,-8,0,6000,5,4.67
230071101,2018,1950,68,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230071102,2018,1958,60,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,4,5,-8,0,0,5,4.67
230072101,2018,1967,51,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,7200,43200,3,5.0
230072102,2018,1966,52,0,4,-8,-8,-8,-8,-8,-8,2,-8,4,3,4,3,1700,20400,4,3.67
